Team	College Football Playoff Ranking	AP Top 25	Conference	Conference.Num
Akron	26	26	Mid-American	9
Alabama	2	1	Southeastern	15
Appalachian State	26	26	Sun Belt	18
Arizona	22	23	Pac-12	14
Arizona State	26	26	Pac-12	14
Arkansas	26	26	Southeastern	15
Army	26	26	Independent	8
Auburn	14	16	Southeastern	15
Austin Peay	26	26	Ohio Valley	13
Baylor	26	26	Big 12	3
Bethune-Cookman	26	26	Mid-Eastern	10
Boise State	26	26	Mountain West	12
Boston College	26	26	Atlantic Coast	2
Bowling Green	26	26	Mid-American	9
BYU	26	26	Independent	8
California	26	26	Pac-12	14
Charleston Southern	26	26	Big South	5
Chattanooga	26	26	Southern	16
Cincinnati	26	26	American Athletic	1
Clemson	4	6	Atlantic Coast	2
Colorado	26	26	Pac-12	14
Colorado State	26	26	Mountain West	12
Connecticut	26	26	American Athletic	1
Delaware	26	26	Colonial Athletic	7
Duke	26	26	Atlantic Coast	2
East Carolina	26	26	American Athletic	1
Florida	26	26	Southeastern	15
Florida Atlantic	26	26	USA	19
Florida International	26	26	USA	19
Florida State	26	26	Atlantic Coast	2
Fresno State	26	26	Mountain West	12
Furman	26	26	Southern	16
Georgia	1	2	Southeastern	15
Georgia Southern	26	26	Sun Belt	18
Georgia State	26	26	Sun Belt	18
Georgia Tech	26	26	Atlantic Coast	2
Houston	26	26	American Athletic	1
Illinois	26	26	Big Ten	6
Indiana	26	26	Big Ten	6
Iowa	26	26	Big Ten	6
Iowa State	15	14	Big 12	3
Jackson State	26	26	Southwestern	17
Kansas	26	26	Big 12	3
Kansas State	26	26	Big 12	3
Kent State	26	26	Mid-American	9
Kentucky	26	26	Southeastern	15
Louisiana Monroe	26	26	Sun Belt	18
Louisiana Tech	26	26	USA	19
Louisville	26	26	Atlantic Coast	2
LSU	19	19	Southeastern	15
Marshall	26	26	USA	19
Maryland	26	26	Big Ten	6
Memphis	23	22	American Athletic	1
Mercer	26	26	Southern	16
Miami	10	9	Atlantic Coast	2
Miami (OH)	26	26	Mid-American	9
Michigan	26	26	Big Ten	6
Michigan State	24	24	Big Ten	6
Minnesota	26	26	Big Ten	6
Mississippi State	16	21	Southeastern	15
Missouri	26	26	Southeastern	15
Montana	26	26	Big Sky	4
Montana State	26	26	Big Sky	4
Navy	26	26	American Athletic	1
NC State	20	20	Atlantic Coast	2
Nebraska	26	26	Big Ten	6
Nevada	26	26	Mountain West	12
North Carolina	26	26	Atlantic Coast	2
Northern Arizona	26	26	Big Sky	4
Northern Iowa	26	26	Missouri Valley	11
Northwestern	26	26	Big Ten	6
Notre Dame	3	5	Independent	8
Ohio State	6	3	Big Ten	6
Oklahoma	5	8	Big 12	3
Oklahoma State	11	11	Big 12	3
Old Dominion	26	26	USA	19
Ole Miss	26	26	Southeastern	15
Oregon	26	26	Pac-12	14
Oregon State	26	26	Pac-12	14
Penn State	7	7	Big Ten	6
Pittsburgh	26	26	Atlantic Coast	2
Purdue	26	26	Big Ten	6
Rice	26	26	USA	19
Rutgers	26	26	Big Ten	6
Samford	26	26	Southern	16
San Diego State	26	26	Mountain West	12
San Jose State	26	26	Mountain West	12
SMU	26	26	American Athletic	1
South Alabama	26	26	Sun Belt	18
South Carolina	26	26	Southeastern	15
South Florida	26	26	American Athletic	1
Southern Illinois	26	26	Missouri Valley	11
Stanford	21	18	Pac-12	14
Stony Brook	26	26	America East	20
Syracuse	26	26	Atlantic Coast	2
TCU	8	10	Big 12	3
Temple	26	26	American Athletic	1
Tennessee	26	26	Southeastern	15
Texas	26	26	Big 12	3
Texas A&M	26	26	Southeastern	15
Texas Tech	26	26	Big 12	3
Toledo	26	26	Mid-American	9
Troy	26	26	Sun Belt	18
Tulane	26	26	American Athletic	1
Tulsa	26	26	American Athletic	1
UCF	18	15	American Athletic	1
UCLA	26	26	Pac-12	14
UMass	26	26	Independent	8
UNLV	26	26	Mountain West	12
USC	17	17	Pac-12	14
Utah	26	26	Pac-12	14
Utah State	26	26	Mountain West	12
UTEP	26	26	USA	19
Vanderbilt	26	26	Southeastern	15
Virginia Tech	13	13	Atlantic Coast	2
W Michigan	26	26	Mid-American	9
Wake Forest	26	26	Atlantic Coast	2
Washington	12	12	Pac-12	14
Washington State	25	25	Pac-12	14
West Virginia	26	26	Big 12	3
Wisconsin	9	4	Big Ten	6
