,Language,alder,ancestor,angle,ant,apple,arm,arse,aspen,axe,barley,battle,beam,"beam, bridge",bean,bear,beard,beast,bee,beech,beer,belly,berry,birch,bird,bison,blackberry,blood,boar,body,bone,bonfire,bow,bowels,brain,branch,breast,breathe,brother,brother's wife,brother-in-law's wife,brow,butter,buttock,cereal,cheek,cheese,cherry,chin,copy,corn,corner,corpse,cow,cow/bull,crane,cream,crow,cub,daughter,daughter-in-law,dawn,day,"dead person, death",dog,door,dry,duck,dust,dwelling,eagle,ear,earth,eel,egg,elbow,elm,evening,excrement,eye,farrow,father,father-/mother-in-law,"fault, sin",fear,fee,field,fire,fish,flax,flea,flesh,fly,foam,foot,forearm,fort,fox,gland,glue,goat,"god, i.e. 'shining'",goose,grandfather/mother's brother,grandson/nephew,grass,grease,grouse,grub,hail,hair,half,hand,harvest,hate,hazel,head,heart,hedgehog,heel,hide,honey,hook,horn,hornbeam/oak,horror,horse,house,husband's brother,ice,intestines,jaw,kidney,kneecap,lake,lamb,lap,law,ledge->tooth,leg,light/bright,lighting/strike,lightning,lip,liver,louse,louse (egg),lung,lynx,man,maple,mattock,mead,meat,metal,milk,millstone,mist,moon/month,mother,mount,mouse,mouth,nail,name,navel,neck,nest,night,northwind,nose,nut,oak,oats,onion,otter,"ox, bull",part,pea,penis,people,person,pine,pond,pouch,power,"power, strength",price,ram,raven,reed,resin,rib,river,road,root,ruler,rye,salmon,salt,sea,sheep,shell,shoulder,sinew,sister,skin,skull,sky/cloud,sleep,smoke,snake,snow,son,space,sparrow,spear/pike,spelt,spleen,spring,squirrel,staff,star,stick,stone,stranger/guest,summer,sun,swamp,sweat,swine,taste,tear,testicle,thorn,throat,thrush,thunder,tongue,tool,tooth,tortoise,"tree, wood",tribe,turnip,udder,victory,village,vital force,vulva,war,wasp,water,wax,wealth/cattle,wheat,wheel,wheel/chariot,whole,widow,winter,wolf,woman,womb,wool,worm,year,yesterday,yoke
0,Albaian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Albanian,,,,MR,,,,,SKS,,,,,P0,AR,,,PLT,,,,,,,TRSTK,,,,XKRP,AXT,,HRK,SR,,0K,KJ,AJ,FL,,,,KJLP,,,,KJS,KRX,MJKR,,,,,LP,PL,KRN,,SR,,,NS,,TT,,XK,TR,TR,,,,ARRL,FX,T,NKJL,F,LR,FT,,,S,,AT,FJHR,,,,,ANT,PXK,LR,PLXT,MX,MS,,PXT,,PRK,,ANKR,,,,,,NP,,,,KRMP,,,,,,,,,,AX,,MXN,MJLT,,SRKT,KRPKRPJ,,,,,,,,,,,,,,TMP,KR,,,,,,,0RJ,,,PR,,,,,,,,,MJ,AM,KR,M,,,AMR,,,,NT,,,AR,,,KRMT,LNTR,,,,,LNT,NJR,,LMN,,NJR,,,,,KLMM,,,,,RNJ,,,,KJLPSN,PRMJR,,,SP,,MTR,,KR,,KJM,,,,,,XPX,,,,,,,,,,,,L,,TJRS,0,TXR,,HRT,,,,,JH,KP,,,TR,,,,,FS,AX,PT,,ANS,AJ,,PL,,R0,SL,KJL,,TMR,AK,KR,,,,FJT,TJ,
2,Ancient Greek,,ANS,AKKN,MRMS,,AR0RN,AR,ASPRS,AKSN,S,,,,,ARKTS,,0R,,FKS,ALTM,A0RS,,,ATS,TRS,MRN,AR,,PRPS,ASTN,PR,ARK0S,KRT,,,ST0S,ANMS,FRTR,KLS,ANTR,AFRS,HLPS,,,JNS,,KRTN,,,,KN0S,,,PS,KRNS,,KRKS,,0KTR,NS,HS,,NKRS,KN,0R,TRSM,NS,,TRMNN,ARNN,AS,K0N,AKKLS,AN,ALN,,HSPRS,KK,AF0LMS,PRKS,PTR,HKRS,AKS,,MS0S,AKRS,,,LNN,SL,MNKKS,M,,PT,,,ALPKS,ATN,KL,ARFS,SS,KN,A,ANPSS,KN,SMRS,TTRN,,,PLKS,HMSS,MN,APR,KTS,,,KRTNKLXRT,AKNS,PTR,,JNTFMLTS,,KRS,,,,TMS,TR,,ATR,,,,AKRN,AMNS,,,KMFS,,LKS,,,,HPR,,KNS,PLMN,LKKS,,,,M0,KRS,,,,N0N,MN,MTR,TRS,MS,,ANHS,ANM,AMFLS,MNN,,NKS,,,ARN,KRTKS,AJLPS,KRMN,HTRS,,ATS,KRS,PS,AL0RS,,KLS,LKS,,ANR,PLXN,HNS,ARNN,,KLMS,,,,PNTS,RS,ARJN,,,HLS,,A,KKKS,KPS,PS,AR,PLS,KR,NFS,HPNS,0MS,,NF,HS,,SPRSN,AKLS,,SPLN,AR,,PKTR,ASTR,,AKMN,,,HLS,LTKS,HTRS,HS,JSS,TKR,ARKS,,,STR0S,,,SKPRNN,ATS,KLN,TRS,,RPS,A0R,,AKS,AN,,KRNS,,HTR,KRS,PK,PRS,,KKLS,HLS,A0S,KM,LKS,KN,PRFS,LNS,RMS,ATS,K0S,SKS
3,Ancient Macedonian,ALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRTS,,,,KNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARJPS,,PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,KRPN,,,,,,,,,,,,,,KMPS,,,,,,,,,,,,KLNTRKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRLS,,,,,,,,,,PT,,,,,,,,,,,,,,,,
4,Avestan,,,ANKPPSSMN,MR,,,,,,AF,,,,,ARSM,,,,,,ATRS,,,FS,STR,,,,KKRRFS,AST,,,,MSK,,FSTN,ANT,PRTR,,,,,SRN,AAFRN,SN,,,,,,,,,KS,,RN,,,TTR,,ASSTR,ASN,NST,SP,TFRRM,TRS,,PRS,,,AS,,,,ARRRN,,,,,,,SFSR,,,MST,,,,,,,,,PT,TS,PPRRSNT,ARPS,,,,TF,S,,NPT,,,,,,,,,,STR,,,SSRRT,,,MS,,,SRF,,KRRRM,,TM,,,,SFN,,,,,,ASTT,,,RKNT,,,,AKRR,,,,,FR,,,M,SRF,AN,SSFT,,SN,MN,MTR,KR,MS,AST,NKR,NMN,NP,MN,,,,N,,,,,ATR,AKSSN,AT,,,R,MNSS,,,,,,,,,,,PRRS,AFS,PNT,,RS,,,,,,,SPT,J,SFNR,,SR,NP,SFFN,,,SNS,HN,,,ASRR,,SPRSN,FNR,,,,,ASMN,,HM,FRR,,SFT,H,SS,ASRSN,RRS,,,,,HSF,,,,TR,,,,,FS,A,,,FSK,,,PS,,R,KKSR,HR,FF,SM,FRK,KKN,,FRRN,,,S,JK
5,Baltic Perkun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTFSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Banuci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPNX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Breton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KRN,,,,,,,,,,,FLKK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bulgarian,ALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TXTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Catalan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
