,FIPS Code,id,State,name,2013 Rural-urban Continuum Code
0,1001,Autauga AL,AL,Autauga,2.0
1,1003,Baldwin AL,AL,Baldwin,3.0
2,1005,Barbour AL,AL,Barbour,6.0
3,1007,Bibb AL,AL,Bibb,1.0
4,1009,Blount AL,AL,Blount,1.0
5,1011,Bullock AL,AL,Bullock,6.0
6,1013,Butler AL,AL,Butler,6.0
7,1015,Calhoun AL,AL,Calhoun,3.0
8,1017,Chambers AL,AL,Chambers,6.0
9,1019,Cherokee AL,AL,Cherokee,6.0
10,1021,Chilton AL,AL,Chilton,1.0
11,1023,Choctaw AL,AL,Choctaw,9.0
12,1025,Clarke AL,AL,Clarke,7.0
13,1027,Clay AL,AL,Clay,9.0
14,1029,Cleburne AL,AL,Cleburne,8.0
15,1031,Coffee AL,AL,Coffee,4.0
16,1033,Colbert AL,AL,Colbert,3.0
17,1035,Conecuh AL,AL,Conecuh,7.0
18,1037,Coosa AL,AL,Coosa,8.0
19,1039,Covington AL,AL,Covington,6.0
20,1041,Crenshaw AL,AL,Crenshaw,8.0
21,1043,Cullman AL,AL,Cullman,4.0
22,1045,Dale AL,AL,Dale,4.0
23,1047,Dallas AL,AL,Dallas,4.0
24,1049,DeKalb AL,AL,DeKalb,6.0
25,1051,Elmore AL,AL,Elmore,2.0
26,1053,Escambia AL,AL,Escambia,6.0
27,1055,Etowah AL,AL,Etowah,3.0
28,1057,Fayette AL,AL,Fayette,6.0
29,1059,Franklin AL,AL,Franklin,6.0
30,1061,Geneva AL,AL,Geneva,3.0
31,1063,Greene AL,AL,Greene,8.0
32,1065,Hale AL,AL,Hale,3.0
33,1067,Henry AL,AL,Henry,3.0
34,1069,Houston AL,AL,Houston,3.0
35,1071,Jackson AL,AL,Jackson,6.0
36,1073,Jefferson AL,AL,Jefferson,1.0
37,1075,Lamar AL,AL,Lamar,8.0
38,1077,Lauderdale AL,AL,Lauderdale,3.0
39,1079,Lawrence AL,AL,Lawrence,3.0
40,1081,Lee AL,AL,Lee,3.0
41,1083,Limestone AL,AL,Limestone,2.0
42,1085,Lowndes AL,AL,Lowndes,2.0
43,1087,Macon AL,AL,Macon,6.0
44,1089,Madison AL,AL,Madison,2.0
45,1091,Marengo AL,AL,Marengo,7.0
46,1093,Marion AL,AL,Marion,7.0
47,1095,Marshall AL,AL,Marshall,4.0
48,1097,Mobile AL,AL,Mobile,2.0
49,1099,Monroe AL,AL,Monroe,7.0
50,1101,Montgomery AL,AL,Montgomery,2.0
51,1103,Morgan AL,AL,Morgan,3.0
52,1105,Perry AL,AL,Perry,8.0
53,1107,Pickens AL,AL,Pickens,3.0
54,1109,Pike AL,AL,Pike,6.0
55,1111,Randolph AL,AL,Randolph,6.0
56,1113,Russell AL,AL,Russell,2.0
57,1115,St. Clair AL,AL,St. Clair,1.0
58,1117,Shelby AL,AL,Shelby,1.0
59,1119,Sumter AL,AL,Sumter,8.0
60,1121,Talladega AL,AL,Talladega,4.0
61,1123,Tallapoosa AL,AL,Tallapoosa,6.0
62,1125,Tuscaloosa AL,AL,Tuscaloosa,3.0
63,1127,Walker AL,AL,Walker,1.0
64,1129,Washington AL,AL,Washington,8.0
65,1131,Wilcox AL,AL,Wilcox,9.0
66,1133,Winston AL,AL,Winston,6.0
86,4001,Apache AZ,AZ,Apache,6.0
87,4003,Cochise AZ,AZ,Cochise,3.0
88,4005,Coconino AZ,AZ,Coconino,3.0
89,4007,Gila AZ,AZ,Gila,4.0
90,4009,Graham AZ,AZ,Graham,7.0
91,4011,Greenlee AZ,AZ,Greenlee,7.0
92,4013,Maricopa AZ,AZ,Maricopa,1.0
93,4015,Mohave AZ,AZ,Mohave,3.0
94,4017,Navajo AZ,AZ,Navajo,4.0
95,4019,Pima AZ,AZ,Pima,2.0
96,4021,Pinal AZ,AZ,Pinal,1.0
97,4023,Santa Cruz AZ,AZ,Santa Cruz,4.0
98,4025,Yavapai AZ,AZ,Yavapai,3.0
99,4027,Yuma AZ,AZ,Yuma,3.0
100,5001,Arkansas AR,AR,Arkansas,6.0
101,5003,Ashley AR,AR,Ashley,7.0
102,5005,Baxter AR,AR,Baxter,7.0
103,5007,Benton AR,AR,Benton,2.0
104,5009,Boone AR,AR,Boone,7.0
105,5011,Bradley AR,AR,Bradley,7.0
106,5013,Calhoun AR,AR,Calhoun,9.0
107,5015,Carroll AR,AR,Carroll,6.0
108,5017,Chicot AR,AR,Chicot,7.0
109,5019,Clark AR,AR,Clark,7.0
110,5021,Clay AR,AR,Clay,7.0
111,5023,Cleburne AR,AR,Cleburne,6.0
112,5025,Cleveland AR,AR,Cleveland,3.0
113,5027,Columbia AR,AR,Columbia,7.0
114,5029,Conway AR,AR,Conway,6.0
115,5031,Craighead AR,AR,Craighead,3.0
116,5033,Crawford AR,AR,Crawford,2.0
117,5035,Crittenden AR,AR,Crittenden,1.0
118,5037,Cross AR,AR,Cross,6.0
119,5039,Dallas AR,AR,Dallas,6.0
120,5041,Desha AR,AR,Desha,6.0
121,5043,Drew AR,AR,Drew,6.0
122,5045,Faulkner AR,AR,Faulkner,2.0
123,5047,Franklin AR,AR,Franklin,6.0
124,5049,Fulton AR,AR,Fulton,9.0
125,5051,Garland AR,AR,Garland,3.0
126,5053,Grant AR,AR,Grant,2.0
127,5055,Greene AR,AR,Greene,4.0
128,5057,Hempstead AR,AR,Hempstead,6.0
129,5059,Hot Spring AR,AR,Hot Spring,6.0
130,5061,Howard AR,AR,Howard,6.0
131,5063,Independence AR,AR,Independence,7.0
132,5065,Izard AR,AR,Izard,9.0
133,5067,Jackson AR,AR,Jackson,6.0
134,5069,Jefferson AR,AR,Jefferson,3.0
135,5071,Johnson AR,AR,Johnson,7.0
136,5073,Lafayette AR,AR,Lafayette,8.0
137,5075,Lawrence AR,AR,Lawrence,6.0
138,5077,Lee AR,AR,Lee,7.0
139,5079,Lincoln AR,AR,Lincoln,3.0
140,5081,Little River AR,AR,Little River,3.0
141,5083,Logan AR,AR,Logan,6.0
142,5085,Lonoke AR,AR,Lonoke,2.0
143,5087,Madison AR,AR,Madison,2.0
144,5089,Marion AR,AR,Marion,9.0
145,5091,Miller AR,AR,Miller,3.0
146,5093,Mississippi AR,AR,Mississippi,4.0
147,5095,Monroe AR,AR,Monroe,7.0
148,5097,Montgomery AR,AR,Montgomery,8.0
149,5099,Nevada AR,AR,Nevada,7.0
150,5101,Newton AR,AR,Newton,9.0
151,5103,Ouachita AR,AR,Ouachita,7.0
152,5105,Perry AR,AR,Perry,2.0
153,5107,Phillips AR,AR,Phillips,6.0
154,5109,Pike AR,AR,Pike,9.0
155,5111,Poinsett AR,AR,Poinsett,3.0
156,5113,Polk AR,AR,Polk,7.0
157,5115,Pope AR,AR,Pope,5.0
158,5117,Prairie AR,AR,Prairie,8.0
159,5119,Pulaski AR,AR,Pulaski,2.0
160,5121,Randolph AR,AR,Randolph,7.0
161,5123,St. Francis AR,AR,St. Francis,6.0
162,5125,Saline AR,AR,Saline,2.0
163,5127,Scott AR,AR,Scott,6.0
164,5129,Searcy AR,AR,Searcy,9.0
165,5131,Sebastian AR,AR,Sebastian,2.0
166,5133,Sevier AR,AR,Sevier,6.0
167,5135,Sharp AR,AR,Sharp,7.0
168,5137,Stone AR,AR,Stone,9.0
169,5139,Union AR,AR,Union,7.0
170,5141,Van Buren AR,AR,Van Buren,8.0
171,5143,Washington AR,AR,Washington,2.0
172,5145,White AR,AR,White,4.0
173,5147,Woodruff AR,AR,Woodruff,9.0
174,5149,Yell AR,AR,Yell,6.0
175,6001,Alameda CA,CA,Alameda,1.0
176,6003,Alpine CA,CA,Alpine,8.0
177,6005,Amador CA,CA,Amador,6.0
178,6007,Butte CA,CA,Butte,3.0
179,6009,Calaveras CA,CA,Calaveras,6.0
180,6011,Colusa CA,CA,Colusa,6.0
181,6013,Contra Costa CA,CA,Contra Costa,1.0
182,6015,Del Norte CA,CA,Del Norte,7.0
183,6017,El Dorado CA,CA,El Dorado,1.0
184,6019,Fresno CA,CA,Fresno,2.0
185,6021,Glenn CA,CA,Glenn,6.0
186,6023,Humboldt CA,CA,Humboldt,5.0
187,6025,Imperial CA,CA,Imperial,3.0
188,6027,Inyo CA,CA,Inyo,7.0
189,6029,Kern CA,CA,Kern,2.0
190,6031,Kings CA,CA,Kings,3.0
191,6033,Lake CA,CA,Lake,4.0
192,6035,Lassen CA,CA,Lassen,7.0
193,6037,Los Angeles CA,CA,Los Angeles,1.0
194,6039,Madera CA,CA,Madera,3.0
195,6041,Marin CA,CA,Marin,1.0
196,6043,Mariposa CA,CA,Mariposa,8.0
197,6045,Mendocino CA,CA,Mendocino,4.0
198,6047,Merced CA,CA,Merced,2.0
199,6049,Modoc CA,CA,Modoc,6.0
200,6051,Mono CA,CA,Mono,7.0
201,6053,Monterey CA,CA,Monterey,2.0
202,6055,Napa CA,CA,Napa,3.0
203,6057,Nevada CA,CA,Nevada,4.0
204,6059,Orange CA,CA,Orange,1.0
205,6061,Placer CA,CA,Placer,1.0
206,6063,Plumas CA,CA,Plumas,7.0
207,6065,Riverside CA,CA,Riverside,1.0
208,6067,Sacramento CA,CA,Sacramento,1.0
209,6069,San Benito CA,CA,San Benito,1.0
210,6071,San Bernardino CA,CA,San Bernardino,1.0
211,6073,San Diego CA,CA,San Diego,1.0
212,6075,San Francisco CA,CA,San Francisco,1.0
213,6077,San Joaquin CA,CA,San Joaquin,2.0
214,6079,San Luis Obispo CA,CA,San Luis Obispo,2.0
215,6081,San Mateo CA,CA,San Mateo,1.0
216,6083,Santa Barbara CA,CA,Santa Barbara,2.0
217,6085,Santa Clara CA,CA,Santa Clara,1.0
218,6087,Santa Cruz CA,CA,Santa Cruz,2.0
219,6089,Shasta CA,CA,Shasta,3.0
220,6091,Sierra CA,CA,Sierra,8.0
221,6093,Siskiyou CA,CA,Siskiyou,6.0
222,6095,Solano CA,CA,Solano,2.0
223,6097,Sonoma CA,CA,Sonoma,2.0
224,6099,Stanislaus CA,CA,Stanislaus,2.0
225,6101,Sutter CA,CA,Sutter,3.0
226,6103,Tehama CA,CA,Tehama,4.0
227,6105,Trinity CA,CA,Trinity,8.0
228,6107,Tulare CA,CA,Tulare,2.0
229,6109,Tuolumne CA,CA,Tuolumne,4.0
230,6111,Ventura CA,CA,Ventura,2.0
231,6113,Yolo CA,CA,Yolo,1.0
232,6115,Yuba CA,CA,Yuba,3.0
233,8001,Adams CO,CO,Adams,1.0
234,8003,Alamosa CO,CO,Alamosa,7.0
235,8005,Arapahoe CO,CO,Arapahoe,1.0
236,8007,Archuleta CO,CO,Archuleta,7.0
237,8009,Baca CO,CO,Baca,9.0
238,8011,Bent CO,CO,Bent,7.0
239,8013,Boulder CO,CO,Boulder,2.0
240,8015,Chaffee CO,CO,Chaffee,7.0
241,8017,Cheyenne CO,CO,Cheyenne,9.0
242,8019,Clear Creek CO,CO,Clear Creek,1.0
243,8021,Conejos CO,CO,Conejos,9.0
244,8023,Costilla CO,CO,Costilla,9.0
245,8025,Crowley CO,CO,Crowley,8.0
246,8027,Custer CO,CO,Custer,8.0
247,8029,Delta CO,CO,Delta,6.0
248,8031,Denver CO,CO,Denver,1.0
249,8033,Dolores CO,CO,Dolores,9.0
250,8035,Douglas CO,CO,Douglas,1.0
251,8037,Eagle CO,CO,Eagle,5.0
252,8039,Elbert CO,CO,Elbert,1.0
253,8041,El Paso CO,CO,El Paso,2.0
254,8043,Fremont CO,CO,Fremont,4.0
255,8045,Garfield CO,CO,Garfield,5.0
256,8047,Gilpin CO,CO,Gilpin,1.0
257,8049,Grand CO,CO,Grand,7.0
258,8051,Gunnison CO,CO,Gunnison,7.0
259,8053,Hinsdale CO,CO,Hinsdale,9.0
260,8055,Huerfano CO,CO,Huerfano,6.0
261,8057,Jackson CO,CO,Jackson,9.0
262,8059,Jefferson CO,CO,Jefferson,1.0
263,8061,Kiowa CO,CO,Kiowa,9.0
264,8063,Kit Carson CO,CO,Kit Carson,7.0
265,8065,Lake CO,CO,Lake,6.0
266,8067,La Plata CO,CO,La Plata,4.0
267,8069,Larimer CO,CO,Larimer,2.0
268,8071,Las Animas CO,CO,Las Animas,7.0
269,8073,Lincoln CO,CO,Lincoln,8.0
270,8075,Logan CO,CO,Logan,7.0
271,8077,Mesa CO,CO,Mesa,3.0
272,8079,Mineral CO,CO,Mineral,9.0
273,8081,Moffat CO,CO,Moffat,7.0
274,8083,Montezuma CO,CO,Montezuma,6.0
275,8085,Montrose CO,CO,Montrose,4.0
276,8087,Morgan CO,CO,Morgan,6.0
277,8089,Otero CO,CO,Otero,6.0
278,8091,Ouray CO,CO,Ouray,9.0
279,8093,Park CO,CO,Park,1.0
280,8095,Phillips CO,CO,Phillips,9.0
281,8097,Pitkin CO,CO,Pitkin,7.0
282,8099,Prowers CO,CO,Prowers,7.0
283,8101,Pueblo CO,CO,Pueblo,3.0
284,8103,Rio Blanco CO,CO,Rio Blanco,9.0
285,8105,Rio Grande CO,CO,Rio Grande,7.0
286,8107,Routt CO,CO,Routt,7.0
287,8109,Saguache CO,CO,Saguache,9.0
288,8111,San Juan CO,CO,San Juan,9.0
289,8113,San Miguel CO,CO,San Miguel,9.0
290,8115,Sedgwick CO,CO,Sedgwick,9.0
291,8117,Summit CO,CO,Summit,5.0
292,8119,Teller CO,CO,Teller,2.0
293,8121,Washington CO,CO,Washington,9.0
294,8123,Weld CO,CO,Weld,2.0
295,8125,Yuma CO,CO,Yuma,7.0
296,9001,Fairfield CT,CT,Fairfield,2.0
297,9003,Hartford CT,CT,Hartford,1.0
298,9005,Litchfield CT,CT,Litchfield,4.0
299,9007,Middlesex CT,CT,Middlesex,1.0
300,9009,New Haven CT,CT,New Haven,2.0
301,9011,New London CT,CT,New London,2.0
302,9013,Tolland CT,CT,Tolland,1.0
303,9015,Windham CT,CT,Windham,2.0
304,10001,Kent DE,DE,Kent,3.0
305,10003,New Castle DE,DE,New Castle,1.0
306,10005,Sussex DE,DE,Sussex,2.0
307,11001,District of Columbia DC,DC,District of Columbia,1.0
308,12001,Alachua FL,FL,Alachua,2.0
309,12003,Baker FL,FL,Baker,1.0
310,12005,Bay FL,FL,Bay,3.0
311,12007,Bradford FL,FL,Bradford,6.0
312,12009,Brevard FL,FL,Brevard,2.0
313,12011,Broward FL,FL,Broward,1.0
314,12013,Calhoun FL,FL,Calhoun,6.0
315,12015,Charlotte FL,FL,Charlotte,3.0
316,12017,Citrus FL,FL,Citrus,3.0
317,12019,Clay FL,FL,Clay,1.0
318,12021,Collier FL,FL,Collier,2.0
319,12023,Columbia FL,FL,Columbia,4.0
320,12027,DeSoto FL,FL,DeSoto,6.0
321,12029,Dixie FL,FL,Dixie,6.0
322,12031,Duval FL,FL,Duval,1.0
